Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 21551,562.22460.peg.1747,core,"Electron transfer flavoprotein, beta subunit ecFixA_1",1964
Cluster 21552,562.22479.peg.5531,unique,Outer membrane usher protein HtrE_4,7
Cluster 21553,562.22482.peg.3112,unique,Autoinducer 2 (AI-2) kinase LsrK (EC 2.7.1.-)_3,16
Cluster 21557,562.22522.peg.1845,unique,Mobile element protein_241,13
Cluster 21560,562.22590.peg.2534,unique,Primosomal protein I_8,24
Cluster 21562,562.22660.peg.1430,unique,5-methylcytosine-specific restriction enzyme A (EC 3.1.21.-)_1,34
Cluster 21564,562.22677.peg.2684,accessory,Recombinational DNA repair protein RecT (prophage associated)_2,268
Cluster 21565,562.22749.peg.5035,unique,Type II restriction enzyme EcoRI_1,7
Cluster 21567,562.22810.peg.4862,unique,"Phage tail tip, host specificity protein J_47",55
Cluster 21578,562.23044.peg.2333,unique,Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)_19,8
Cluster 21580,562.23256.peg.1409,accessory,Phage EaA protein_86,327
Cluster 21582,562.23283.peg.5089,unique,Mobile element protein_595,10
Cluster 21583,562.23290.peg.4080,unique,Protein RhsD_69,15
Cluster 21586,562.23368.peg.48,unique,UPF0380 proteins YafZ and homologs_34,122
Cluster 21587,562.23404.peg.4610,core,Transcriptional regulator of catabolic arginine decarboxylase (adiA)_7,1946
Cluster 21593,562.23592.peg.1430,unique,Phage recombination protein Bet_16,7
Cluster 21594,562.23592.peg.3113,unique,Phage integrase_154,5
Cluster 21598,562.23764.peg.4904,unique,Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)_18,25
Cluster 21609,562.42818.peg.1038,core,Esterase ybfF (EC 3.1.-.-)_1,1970
Cluster 21610,562.42818.peg.3210,core,Cell division protein FtsQ_1,1970
Cluster 21615,562.7572.peg.2178,unique,Phage EaA protein_151,10
Cluster 21617,562.7634.peg.5314,unique,major head protein/prohead proteinase [similarity]_3,5
Cluster 21618,562.7672.peg.4827,unique,Protein RhsD_258,8
Cluster 21621,562.7759.peg.4360,unique,Putative transposase InsQ for insertion sequence element IS609_68,30
Cluster 21624,562.12959.peg.4575,accessory,"Transketolase, N-terminal section (EC 2.2.1.1)_1",421
Cluster 21625,562.12959.peg.4273,core,"N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) @ 1,6-anhydro-N-acetylmuramyl-L-alanine amidase_1",1966
Cluster 21626,562.12959.peg.1376,accessory,"Aga operon transcriptional repressor, DeoR family_1",1276
Cluster 21627,562.12959.peg.736,core,Rhomboid protease GlpG (EC 3.4.21.105)_1,1967
Cluster 21628,562.12959.peg.5276,unique,putative lipoprotein_4,66
Cluster 21630,562.12960.peg.2668,unique,Transposase_8,112
Cluster 21631,562.12960.peg.252,accessory,Flagellar biosynthesis protein FliP_1,575
Cluster 21633,562.12961.peg.256,core,Acetate operon repressor IclR_1,1970
Cluster 21635,562.13502.peg.4099,accessory,Fructoselysine 3-epimerase_1,446
Cluster 21637,562.16324.peg.2290,accessory,Phosphonate ABC transporter permease protein PhnE (TC 3.A.1.9.1)_2,1825
Cluster 21642,562.22432.peg.3228,accessory,Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)_2,1880
Cluster 21646,562.22470.peg.4389,unique,T6SS associated component TagJ (ImpE)_1,35
Cluster 21647,562.22477.peg.455,unique,Phage DNA replication protein O_21,21
Cluster 21649,562.22501.peg.4439,unique,"Transketolase, N-terminal section (EC 2.2.1.1)_4",26
Cluster 21657,562.22661.peg.2207,unique,Chromosome (plasmid) partitioning protein ParA_13,7
Cluster 21660,562.22697.peg.1662,unique,Uncharacterized glycosyl hyrdrolase YieL_6,12
Cluster 21661,562.22697.peg.3629,core,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (EC 2.7.8.37)_4,1950
Cluster 21663,562.22701.peg.4956,unique,"Hydrolase, HAD superfamily_1",38
Cluster 21665,562.22749.peg.5061,accessory,Transposase_203,350
Cluster 21670,562.22932.peg.2490,unique,Cellulose biosynthesis protein BcsG_7,22
Cluster 21676,562.23149.peg.4833,unique,Lactose permease_17,5
Cluster 21682,562.23470.peg.300,core,Murein DD-endopeptidase MepH_1,1966
Cluster 21699,562.28998.peg.307,unique,Probable chromosome partitioning protein parB_14,5
Cluster 21702,562.42645.peg.1008,unique,Uncharacterized protein YbjT_5,6
Cluster 21707,562.42770.peg.5057,unique,IncF plasmid conjugative transfer pilus assembly protein TraC_38,7
Cluster 21715,562.45397.peg.2298,accessory,Mobile element protein_1299,434
Cluster 21722,562.7642.peg.1082,unique,"Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)_4",5
Cluster 21728,562.7673.peg.5222,unique,Head-tail preconnector protein GP5_1,6
Cluster 21733,562.12959.peg.4774,core,"Taurine ABC transporter, permease protein TauC_1",1946
Cluster 21734,562.12959.peg.3851,accessory,"Manganese ABC transporter, ATP-binding protein SitB_1",1600
Cluster 21735,562.12959.peg.1627,core,"Methylglyoxal reductase, dihydroxyacetone producing @ 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) (EC 1.1.1.274)_1",1967
Cluster 21736,562.12959.peg.1593,core,"3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)_2",1968
Cluster 21737,562.12960.peg.4798,unique,Class D beta-lactamase (EC 3.5.2.6) => OXA-2 family_1,6
Cluster 21747,562.22466.peg.4278,unique,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) @ 2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)_4,10
Cluster 21748,562.22467.peg.317,unique,NAD synthetase (EC 6.3.1.5)_1,22
Cluster 21749,562.22470.peg.1604,unique,Integrase_32,12
Cluster 21755,562.22629.peg.4669,unique,IncF plasmid conjugative transfer pilus assembly protein TraU_5,14
Cluster 21758,562.22653.peg.4231,unique,"Manganese ABC transporter, inner membrane permease protein SitD_9",10
Cluster 21761,562.22670.peg.4711,core,Two-component transcriptional response regulator RstA_1,1966
Cluster 21768,562.22776.peg.3897,accessory,UPF0380 proteins YafZ and homologs_23,1294
Cluster 21770,562.22789.peg.5169,unique,Mobilization protein_8,41
Cluster 21772,562.22812.peg.1260,unique,Phage ea22 protein_129,5
Cluster 21774,562.22853.peg.4182,unique,Uncharacterized MFS-type transporter YdfJ_5,10
Cluster 21776,562.22919.peg.5186,unique,IncF plasmid conjugative transfer protein TraG_19,5
Cluster 21777,562.22936.peg.4949,accessory,Uncharacterized protein YahL_4,753
Cluster 21780,562.23019.peg.4732,unique,"Phage tail fiber Mup49, S_39",6
Cluster 21782,562.23035.peg.4131,unique,"PTS system, N-acetylmuramic acid-specific IIB component (EC 2.7.1.192) / PTS system, N-acetylmuramic acid-specific IIC component_7",5
Cluster 21790,562.23240.peg.3461,unique,VgrG protein_101,10
Cluster 21803,562.23748.peg.3992,unique,Putative adhesin_16,5
Cluster 21814,562.34089.peg.5225,unique,Mobile element protein_926,10
Cluster 21816,562.42818.peg.4061,core,Protein SseB_3,1970
Cluster 21826,562.7573.peg.4352,unique,Mobile element protein_1369,5
Cluster 21833,562.7720.peg.4574,unique,Phage DNA adenine methylase (EC 2.1.1.72)_59,41
Cluster 21836,562.7791.peg.5359,unique,Protein RhsD_303,6
Cluster 21837,562.12959.peg.906,core,BAX protein_1,1959
Cluster 21838,562.12959.peg.2851,core,Protein YeeZ_1,1969
Cluster 21839,562.12959.peg.2533,accessory,Uncharacterized protein YadU in stf fimbrial cluster_1,400
Cluster 21840,562.12959.peg.5370,accessory,"3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)_1",220
Cluster 21841,562.12959.peg.3939,core,Thiamine kinase (EC 2.7.1.89) @ Adenosylcobinamide kinase (EC 2.7.1.156)_1,1961
Cluster 21842,562.12959.peg.4936,core,UPF0294 protein YafD_1,1970
Cluster 21843,562.12959.peg.2537,core,Penicillin-insensitive murein endopeptidase_1,1969
Cluster 21844,562.12959.peg.4975,core,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)_1",1970
Cluster 21845,562.12959.peg.1144,core,Diaminopimelate epimerase (EC 5.1.1.7)_1,1970
Cluster 21846,562.12960.peg.4004,unique,DNA-damage-inducible protein D_1,76
Cluster 21855,562.16325.peg.4745,unique,Class D beta-lactamase (EC 3.5.2.6)_1,9
Cluster 21860,562.22433.peg.138,accessory,Transcriptional repressor of aga operon_1,1803
Cluster 21861,562.22433.peg.4820,accessory,"Transcriptional regulator, RpiR family_4",176
Cluster 21864,562.22444.peg.4479,unique,zinc metalloproteinase Mpr protein_2,32
Cluster 21865,562.22449.peg.1002,unique,Uncharacterized protein YadU in stf fimbrial cluster_9,25
Cluster 21866,562.22457.peg.4568,unique,ATP-dependent helicase_4,21
Cluster 21867,562.22482.peg.5059,unique,mannose-specific adhesin FimH_4,17
Cluster 21870,562.22545.peg.4444,unique,"L-lysine 6-monooxygenase [NADPH] (EC 1.14.13.59), aerobactin biosynthesis protein IucD @ Siderophore biosynthesis protein, monooxygenase_2",11
Cluster 21871,562.22554.peg.4736,unique,UPF0380 proteins YafZ and homologs_13,18
Cluster 21873,562.22591.peg.181,unique,Invasin_14,13
Cluster 21874,562.22607.peg.4988,unique,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)_33",7
Cluster 21876,562.22665.peg.506,core,Hexuronate utilization operon transcriptional repressor ExuR_2,1955
Cluster 21879,562.22742.peg.4630,unique,Type VI secretion-related protein VasL_13,7
Cluster 21883,562.22803.peg.4934,unique,Phage major capsid protein_18,5
Cluster 21892,562.22970.peg.4769,unique,Protein RhsB_14,7
Cluster 21894,562.23107.peg.4689,accessory,UPF0380 proteins YafZ and homologs_31,1473
Cluster 21904,562.23245.peg.933,core,Ribonuclease I precursor (EC 3.1.27.6)_4,1965
Cluster 21916,562.28999.peg.1713,unique,"H repeat-associated protein, YhhI family_93",5
Cluster 21918,562.31452.peg.3021,core,4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)_1,1970
Cluster 21920,562.42700.peg.5240,unique,Transposase InsG for insertion sequence element IS4_30,9
Cluster 21921,562.42743.peg.1663,unique,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)_20",16
Cluster 21930,562.7626.peg.4544,unique,Urease accessory protein UreD_3,5
Cluster 21934,562.7695.peg.1665,accessory,Uncharacterized protein YiiG_21,254
Cluster 21937,562.7712.peg.263,unique,Putative multidrug resistance outer membrane protein MdtQ_16,7
Cluster 21938,562.7737.peg.5057,unique,"Phage head, major capsid protein E_53",163
Cluster 21939,562.7744.peg.5187,unique,"Phage head, head-tail preconnector protease C / Phage head, scaffolding domain Nu3_83",32
Cluster 21942,562.7779.peg.5058,unique,"Phage head, major capsid protein E_56",163
Cluster 21944,562.12959.peg.3385,core,Uncharacterized serine protease YdgD_1,1963
Cluster 21946,562.12959.peg.1567,core,Undecaprenyl-diphosphatase (EC 3.6.1.27)_1,1970
Cluster 21947,562.12959.peg.5104,core,SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)_1,1970
Cluster 21948,562.12959.peg.4154,accessory,"Phage virion morphogenesis protein Mup30, F_1",501
Cluster 21949,562.12959.peg.945,core,Serine acetyltransferase (EC 2.3.1.30)_1,1970
Cluster 21950,562.12959.peg.629,core,LSU ribosomal protein L2p (L8e)_1,1970
Cluster 21951,562.12959.peg.2341,accessory,RecT protein_2,182
Cluster 21954,562.12961.peg.1570,core,HesA/MoeB/ThiF family protein => sulfur transfer pathway protein CsdL_1,1969
Cluster 21962,562.13502.peg.3465,unique,Transposon Tn7 transposition protein tnsA_1,95
Cluster 21963,562.13502.peg.447,unique,Uncharacterized protein YadU in stf fimbrial cluster_2,105
Cluster 21966,562.16466.peg.868,accessory,Polysaccharide deacetylase_1,170
Cluster 21968,562.17721.peg.1566,unique,Tn7-like transposition protein A_1,15
Cluster 21970,562.22435.peg.1208,accessory,FIG018329: 1-acyl-sn-glycerol-3-phosphate acyltransferase_1,442
Cluster 21971,562.22435.peg.1538,unique,Phage DNA replication protein O_10,31
Cluster 21972,562.22446.peg.1579,unique,"Cytolethal distending toxin subunit B, DNase I-like_1",100
Cluster 21973,562.22449.peg.3523,unique,5-deoxy-glucuronate isomerase (EC 5.3.1.30)_2,20
Cluster 21978,562.22453.peg.4580,unique,"Phage tail fiber, side tail fiber protein Stf_24",11
Cluster 21986,562.22556.peg.3386,unique,Transcriptional regulator_21,15
Cluster 21987,562.22567.peg.4956,unique,Putative inner membrane protein_26,113
Cluster 21988,562.22576.peg.4548,unique,Phage tail_2,118
Cluster 21989,562.22576.peg.3026,unique,Type IV fimbrial assembly protein PilC_5,10
Cluster 21990,562.22589.peg.4622,unique,"Outer membrane and periplasm component of type IV secretion of T-DNA complex, has secretin-like domain, VirB9_7",5
Cluster 21992,562.22632.peg.5166,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_15,5
Cluster 21996,562.22643.peg.3074,unique,"Anaerobic dimethyl sulfoxide reductase chain C (EC 1.8.5.3), anchor subunit_3",18
Cluster 21997,562.22653.peg.4229,unique,"Manganese ABC transporter, ATP-binding protein SitB_5",11
Cluster 21998,562.22661.peg.3575,unique,Mrr restriction system protein_3,7
Cluster 22001,562.22687.peg.4957,unique,Transposase InsO for insertion sequence element IS911_23,28
Cluster 22003,562.22695.peg.1995,unique,Phage protein YdfU family_6,15
Cluster 22004,562.22699.peg.592,unique,"Lyzozyme M1 (1,4-beta-N-acetylmuramidase) (EC 3.2.1.17)_3",7
Cluster 22006,562.22742.peg.3424,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_26,32
Cluster 22013,562.22864.peg.2803,unique,Uncharacterized integral membrane protein YjiJ_3,23
Cluster 22015,562.22895.peg.4540,unique,D-serine permease DsdX_6,43
Cluster 22018,562.22964.peg.3798,unique,UPF0380 proteins YafZ and homologs_28,34
Cluster 22022,562.23044.peg.3469,unique,Putative deoxyribonuclease YjjV_3,30
Cluster 22025,562.23177.peg.4492,unique,Lincosamide nucleotidyltransferase => Lnu(F)/Lnu(G)_1,5
Cluster 22035,562.23583.peg.1211,unique,Outer membrane usher protein YraJ_10,7
Cluster 22047,562.42763.peg.4278,unique,"Uncharacterized membrane protein, YraQ family_14",8
Cluster 22050,562.42818.peg.1942,core,Negative regulator of allantoin and glyoxylate utilization operons_1,1957
Cluster 22051,562.42818.peg.2888,core,Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)_5,1968
Cluster 22053,562.42837.peg.653,unique,"Phage terminase, large subunit Mup28, E_27",14
Cluster 22055,562.7567.peg.4917,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_102,12
Cluster 22056,562.7571.peg.4584,unique,Polysaccharide deacetylase_8,8
Cluster 22057,562.7573.peg.4957,unique,Uncharacterized fimbrial-system-associated protein YqiI_10,6
Cluster 22058,562.7579.peg.1229,unique,RNA 3'-terminal phosphate cyclase (EC 6.5.1.4)_13,7
Cluster 22059,562.7637.peg.3018,core,Endonuclease VIII_5,1952
Cluster 22062,562.7687.peg.399,unique,"Lyzozyme M1 (1,4-beta-N-acetylmuramidase) (EC 3.2.1.17)_10",74
Cluster 22070,562.12959.peg.3189,core,"Uncharacterized transcriptional regulator YeaM, AraC family_1",1956
Cluster 22071,562.12959.peg.1007,accessory,Lipoprotein 28 (NlpA)_1,1885
Cluster 22073,562.12959.peg.3105,accessory,UPF0759 protein YecE_1,1889
Cluster 22074,562.12959.peg.2771,accessory,"Lyzozyme M1 (1,4-beta-N-acetylmuramidase) (EC 3.2.1.17)_1",1809
Cluster 22075,562.12959.peg.4693,core,"HMP-PP hydrolase (pyridoxal phosphatase) Cof, detected in genetic screen for thiamin metabolic genes_1",1955
Cluster 22088,562.16324.peg.2838,unique,alpha-xylosidase (EC 3.2.1.177)_4,8
Cluster 22094,562.22436.peg.2446,unique,UPF0380 proteins YafZ and homologs_3,28
Cluster 22097,562.22464.peg.3159,unique,Transposase_97,58
Cluster 22102,562.22487.peg.1544,accessory,Orf2_1,1531
Cluster 22114,562.22661.peg.2234,unique,Anaerobic sulfite reductase subunit B_1,6
Cluster 22115,562.22697.peg.1598,unique,Outer membrane protein_11,149
Cluster 22116,562.22697.peg.3251,accessory,Putative mannosyl-3-phosphoglycerate phosphatase (EC 3.1.3.70)_5,405
Cluster 22118,562.22707.peg.433,accessory,"Type III secretion bridge between inner and outermembrane lipoprotein (YscJ,HrcJ,EscJ, PscJ)_3",633
Cluster 22119,562.22716.peg.4845,unique,"Phage head, portal protein B_34",37
Cluster 22122,562.22767.peg.5287,unique,"Phage tail tip, host specificity protein J_41",83
Cluster 22134,562.23049.peg.742,unique,"Phage tail fiber, side tail fiber protein Stf_206",7
Cluster 22136,562.23073.peg.3826,core,HAD phosphatase YigL_4,1970
Cluster 22138,562.23166.peg.3474,unique,LPS-core synthesis glycosyltransferase PM0512_2,7
Cluster 22139,562.23260.peg.2582,unique,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)_12",7
Cluster 22144,562.23427.peg.3751,unique,CAAX amino terminal protease family protein_1,28
Cluster 22149,562.23549.peg.2497,unique,Phage protein_458,151
Cluster 22153,562.23773.peg.2274,unique,Biofilm PGA synthesis deacetylase PgaB (EC 3.-)_12,6
Cluster 22163,562.42730.peg.1896,unique,Pseudouridine kinase (EC 2.7.1.83)_11,6
Cluster 22171,562.42838.peg.248,accessory,"Iron compound ABC transporter, ATP-binding protein_5",1380
Cluster 22175,562.42863.peg.5259,unique,Transposase_524,5
Cluster 22177,562.7567.peg.3576,accessory,ABC transporter permease protein YdcV_5,585
Cluster 22180,562.7581.peg.1646,unique,Glucarate dehydratase related protein YgcY_9,11
Cluster 22185,562.7690.peg.2040,unique,Phage ea22 protein_424,5
Cluster 22188,562.7727.peg.723,core,Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6)_3,1965
Cluster 22190,562.12959.peg.636,accessory,General secretion pathway protein C_1,1444
Cluster 22191,562.12959.peg.4617,core,Uncharacterized protein YlbF_1,1966
Cluster 22192,562.12959.peg.922,accessory,"Transcriptional regulator, AraC family_2",839
Cluster 22193,562.12959.peg.4318,core,Sugar phosphatase YbiV_1,1966
Cluster 22194,562.12959.peg.4566,core,Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)_1,1970
Cluster 22195,562.12959.peg.1084,core,ATP synthase F0 sector subunit a (EC 3.6.3.14)_1,1970
Cluster 22196,562.12959.peg.3541,accessory,"Transcriptional regulator, AraC family_3",1253
Cluster 22197,562.12959.peg.4296,core,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI_1,1962
Cluster 22198,562.12959.peg.4942,core,Methionine ABC transporter substrate-binding protein_1,1970
Cluster 22199,562.12960.peg.5082,unique,Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) => APH(3')-I_1,84
Cluster 22200,562.12960.peg.5217,unique,Phage tail_1,126
Cluster 22201,562.12960.peg.2494,unique,Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) / ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)_2,152
Cluster 22208,562.16325.peg.497,accessory,Uncharacterized protein YdjO_1,573
Cluster 22210,562.22428.peg.2130,unique,Phage protein_80,140
Cluster 22211,562.22434.peg.1519,unique,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)_3",19
Cluster 22213,562.22437.peg.118,unique,Phage portal vertex protein GpQ_7,7
Cluster 22215,562.22450.peg.140,unique,D-cysteine desulfhydrase (EC 4.4.1.15)_2,14
Cluster 22219,562.22494.peg.5058,unique,"Phage head, terminase DNA packaging protein A_10",19
Cluster 22220,562.22495.peg.300,unique,Deubiquitinating protease ElaD_5,67
Cluster 22231,562.22663.peg.4456,unique,Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)_11,58
Cluster 22232,562.22737.peg.4186,accessory,"Uncharacterized transcriptional regulator YbcM, AraC family_2",1534
